DATE,monthly_retail,close
4/1/2018,436423.00,
5/1/2018,441536.00,
6/1/2018,439651.00,
7/1/2018,441541.00,
8/1/2018,440241.00,
9/1/2018,441029.00,
10/1/2018,446238.00,
11/1/2018,446894.00,
12/1/2018,435953.00,
1/1/2019,443420.00,
2/1/2019,442467.00,1287.2
3/1/2019,449925.00,1291.92
4/1/2019,452012.00,
5/1/2019,453199.00,
6/1/2019,454039.00,
7/1/2019,457118.00,
8/1/2019,459449.00,
9/1/2019,457277.00,
10/1/2019,459978.00,
11/1/2019,460760.00,
12/1/2019,460512.00,
1/1/2020,464062.00,
2/1/2020,461914.00,
3/1/2020,438221.00,
4/1/2020,382734.00,
5/1/2020,448788.00,
6/1/2020,479823.00,
7/1/2020,482372.00,
8/1/2020,482882.00,
