"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2017","873.44","887.14","890.19","872.36","428.31M","-0.93%"
"Aug 23, 2017","881.67","880.20","882.68","877.99","274.28M","-0.50%"
"Aug 22, 2017","886.14","879.39","886.75","879.39","260.14M","1.04%"
"Aug 21, 2017","877.02","875.50","878.62","871.76","264.87M","0.11%"
"Aug 18, 2017","876.08","880.42","881.36","876.08","314.07M","-0.52%"
"Aug 17, 2017","880.68","888.23","890.91","880.63","303.62M","-1.33%"
"Aug 16, 2017","892.59","891.30","895.10","888.69","307.42M","0.60%"
"Aug 15, 2017","887.25","898.35","898.35","886.95","331.84M","-1.25%"
"Aug 14, 2017","898.47","898.45","902.72","896.62","244.51M","0.45%"
"Aug 11, 2017","894.47","889.39","896.72","888.88","347.05M","0.62%"
"Aug 10, 2017","888.96","901.13","901.46","888.87","349.32M","-1.94%"
"Aug 09, 2017","906.58","903.36","907.85","901.77","267.56M","-0.25%"
"Aug 08, 2017","908.84","911.65","915.23","907.40","224.32M","-0.23%"
"Aug 07, 2017","910.89","906.90","911.95","906.05","232.13M","0.57%"
"Aug 04, 2017","905.77","905.52","906.85","902.15","213.97M","0.30%"
"Aug 03, 2017","903.03","911.28","911.54","901.93","255.40M","-0.73%"
"Aug 02, 2017","909.66","911.22","911.73","905.20","259.22M","-0.33%"
"Aug 01, 2017","912.69","911.58","914.05","909.75","234.76M","0.51%"
"Jul 31, 2017","908.04","911.41","911.72","904.93","242.12M","-0.29%"
"Jul 28, 2017","910.72","907.54","912.37","904.66","225.15M","-0.52%"
"Jul 27, 2017","915.44","916.58","921.99","908.96","293.80M","0.32%"
"Jul 26, 2017","912.52","911.15","913.08","908.17","222.40M","0.26%"
"Jul 25, 2017","910.13","902.52","911.53","901.46","284.95M","1.15%"
"Jul 24, 2017","899.77","899.32","901.57","897.13","220.64M","-0.01%"
"Jul 21, 2017","899.83","897.14","899.83","895.48","227.82M","0.03%"
"Jul 20, 2017","899.53","905.82","905.82","897.71","266.57M","-0.62%"
"Jul 19, 2017","905.12","903.17","907.42","902.47","263.16M","0.35%"
"Jul 18, 2017","901.96","899.62","903.50","898.30","322.69M","0.48%"
"Jul 17, 2017","897.64","894.65","899.69","894.41","254.73M","0.48%"
"Jul 14, 2017","893.38","893.74","894.49","889.92","222.35M","0.24%"
"Jul 13, 2017","891.20","888.60","892.05","887.72","293.40M","0.58%"
"Jul 12, 2017","886.06","883.23","886.94","883.09","246.38M","0.89%"
"Jul 11, 2017","878.24","879.58","880.72","874.66","286.68M","-0.18%"
"Jul 10, 2017","879.85","884.50","884.55","879.59","351.50M","-0.50%"
"Jul 07, 2017","884.27","882.20","885.90","881.88","259.84M","0.47%"
"Jul 06, 2017","880.10","885.51","885.51","879.43","312.92M","-1.02%"
"Jul 05, 2017","889.14","893.12","893.12","886.57","320.25M","-0.41%"
"Jul 03, 2017","892.83","898.32","900.75","892.71","171.38M","-0.24%"
"Jun 30, 2017","894.97","896.34","897.91","893.30","354.20M","0.17%"
"Jun 29, 2017","893.45","900.23","901.03","886.90","582.06M","-0.84%"
"Jun 28, 2017","901.04","896.19","902.37","893.84","339.20M","0.82%"
"Jun 27, 2017","893.72","897.01","903.37","893.72","331.89M","-0.53%"
"Jun 26, 2017","898.48","897.25","900.79","896.00","364.98M","0.51%"
"Jun 23, 2017","893.96","897.47","897.47","891.19","469.92M","-0.43%"
"Jun 22, 2017","897.81","901.21","901.45","897.81","292.83M","-0.37%"
"Jun 21, 2017","901.12","902.41","904.65","897.94","297.20M","0.02%"
"Jun 20, 2017","900.93","910.25","910.25","900.85","280.94M","-0.96%"
"Jun 19, 2017","909.63","908.45","910.43","902.54","334.06M","0.73%"
"Jun 16, 2017","903.01","905.35","905.35","897.23","736.16M","-0.99%"
"Jun 15, 2017","912.04","913.36","915.28","904.01","310.65M","-1.13%"
"Jun 14, 2017","922.46","922.78","924.95","917.54","226.82M","0.27%"
"Jun 13, 2017","920.01","916.87","921.07","914.35","213.44M","0.71%"
"Jun 12, 2017","913.56","914.18","917.19","910.98","323.19M","-0.48%"
"Jun 09, 2017","917.94","923.19","924.42","909.65","344.93M","-0.42%"
"Jun 08, 2017","921.79","926.59","927.83","919.93","276.95M","-0.23%"
"Jun 07, 2017","923.95","923.45","924.85","920.85","240.61M","0.27%"
"Jun 06, 2017","921.47","930.28","930.28","920.67","294.49M","-1.23%"
"Jun 05, 2017","932.98","933.79","934.11","929.67","200.32M","-0.07%"
"Jun 02, 2017","933.65","930.09","933.72","928.74","234.83M","0.38%"
"Jun 01, 2017","930.15","921.96","930.16","920.18","308.30M","1.13%"
"May 31, 2017","919.80","921.20","921.43","913.90","315.27M","0.07%"
"May 30, 2017","919.13","919.38","921.89","919.04","224.32M","-0.15%"
