DATE,UNEMPLOY
12/1/2013,10404
1/1/2014,10202
2/1/2014,10349
3/1/2014,10380
4/1/2014,9702
5/1/2014,9859
6/1/2014,9460
7/1/2014,9608
8/1/2014,9599
9/1/2014,9262
10/1/2014,8990
11/1/2014,9090
12/1/2014,8717
1/1/2015,8885
2/1/2015,8599
3/1/2015,8515
4/1/2015,8550
5/1/2015,8834
6/1/2015,8247
7/1/2015,8167
8/1/2015,7992
9/1/2015,7907
10/1/2015,7922
11/1/2015,8000
12/1/2015,7907
1/1/2016,7721
2/1/2016,7746
3/1/2016,7945
4/1/2016,7975
5/1/2016,7668
6/1/2016,7786
7/1/2016,7658
8/1/2016,7809
9/1/2016,7967
10/1/2016,7827
11/1/2016,7488
12/1/2016,7495
1/1/2017,7518
2/1/2017,7399
3/1/2017,7088
4/1/2017,7085
5/1/2017,7059
6/1/2017,6933
7/1/2017,6867
8/1/2017,7097
9/1/2017,6841
10/1/2017,6599
11/1/2017,6697
12/1/2017,6561
1/1/2018,6582
2/1/2018,6641
3/1/2018,6493
4/1/2018,6418
5/1/2018,6209
6/1/2018,6519
7/1/2018,6180
8/1/2018,6167
9/1/2018,6045
10/1/2018,6123
11/1/2018,6034
12/1/2018,6286
1/1/2019,6516
2/1/2019,6181
3/1/2019,6194
4/1/2019,5850
5/1/2019,5938
6/1/2019,5985
7/1/2019,6027
8/1/2019,5999
9/1/2019,5753
10/1/2019,5857
11/1/2019,5811
12/1/2019,5753
1/1/2020,5892
2/1/2020,5787
3/1/2020,7140
4/1/2020,23078
5/1/2020,20985
6/1/2020,17750
7/1/2020,16338
8/1/2020,13550
9/1/2020,12580
