"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 07","377.13","369.95","383.95","348.09","4.09B","1.94%"
"Jul 07","369.95","392.32","401.68","369.46","3.24B","-5.70%"
"Jun 07","392.32","400.42","407.19","386.93","3.33B","-2.02%"
"May 07","400.42","391.97","401.34","388.03","3.43B","2.16%"
"Apr 07","391.96","386.15","401.78","385.21","2.92B","1.51%"
"Mar 07","386.14","384.20","392.45","367.32","3.62B","0.50%"
"Feb 07","384.21","387.81","401.07","380.87","2.50B","-0.93%"
"Jan 07","387.82","371.48","388.82","369.77","3.09B","4.42%"
"Dec 06","371.42","367.84","380.92","363.92","2.74B","0.98%"
"Nov 06","367.83","373.67","376.58","359.91","3.43B","-1.56%"
"Oct 06","373.66","360.74","378.54","357.78","3.36B","3.58%"
"Sep 06","360.74","342.10","366.52","342.10","3.16B","5.47%"
"Aug 06","342.04","333.50","349.70","328.81","3.39B","2.46%"
"Jul 06","333.82","350.56","351.17","324.38","3.50B","-4.78%"
"Jun 06","350.57","351.91","356.89","341.90","3.57B","-0.38%"
"May 06","351.92","360.59","368.80","345.48","3.89B","-2.40%"
"Apr 06","360.58","368.09","373.24","357.56","2.99B","-2.04%"
"Mar 06","368.09","361.52","372.81","356.92","3.46B","1.81%"
"Feb 06","361.56","357.92","366.42","349.71","2.98B","0.99%"
"Jan 06","358.00","355.34","362.95","350.07","3.45B","0.75%"
"Dec 05","355.35","359.78","367.70","355.15","2.84B","-1.25%"
"Nov 05","359.85","344.68","369.68","342.60","3.18B","4.40%"
"Oct 05","344.68","340.58","345.90","328.93","3.28B","1.21%"
"Sep 05","340.57","348.85","354.44","328.25","3.67B","-2.37%"
"Aug 05","348.85","371.27","373.54","342.83","3.37B","-6.04%"
"Jul 05","371.27","348.41","374.47","348.32","2.60B","6.57%"
"Jun 05","348.38","341.27","357.45","341.07","3.04B","2.12%"
"May 05","341.16","317.97","344.06","317.89","3.02B","7.29%"
"Apr 05","317.97","337.40","339.76","312.65","3.34B","-5.75%"
"Mar 05","337.36","338.87","346.99","332.43","3.74B","-0.44%"
"Feb 05","338.86","337.16","343.90","332.67","2.69B","0.47%"
"Jan 05","337.29","347.99","352.36","330.86","2.83B","-3.07%"
"Dec 04","347.98","336.68","349.81","336.68","2.46B","3.45%"
"Nov 04","336.36","329.24","355.41","327.93","2.62B","4.09%"
"Oct 04","323.15","316.00","331.28","312.91","2.32B","3.39%"
"Sep 04","312.56","308.14","320.19","306.34","2.21B","1.96%"
"Aug 04","306.56","310.00","313.39","292.99","2.31B","-0.97%"
"Jul 04","309.56","323.37","323.96","301.98","2.33B","-5.37%"
"Jun 04","327.14","325.08","334.20","320.80","2.12B","-0.20%"
"May 04","327.78","322.45","327.10","305.72","2.30B","0.95%"
"Apr 04","324.70","332.59","334.90","320.98","2.15B","-1.75%"
"Mar 04","330.50","331.82","337.69","317.59","2.39B","0.22%"
"Feb 04","329.76","312.66","334.02","312.51","1.99B","5.06%"
"Jan 04","313.89","314.56","320.21","305.77","2.34B","0.19%"
"Dec 03","313.31","325.28","326.74","299.26","2.47B","-2.15%"
"Nov 03","320.19","325.59","329.92","312.63","1.96B","0.61%"
"Oct 03","318.24","294.88","328.38","294.88","2.30B","9.12%"
"Sep 03","291.65","312.35","316.11","292.58","2.37B","-4.86%"
"Aug 03","306.56","290.64","312.59","282.69","2.18B","6.67%"
"Jul 03","287.39","282.50","298.99","277.96","2.38B","2.82%"
"Jun 03","279.51","274.09","290.28","274.08","2.42B","3.08%"
"May 03","271.15","266.57","278.60","258.63","2.62B","4.00%"
"Apr 03","260.73","243.12","269.66","240.05","2.40B","9.20%"
"Mar 03","238.77","231.97","255.75","219.66","2.69B","4.48%"
"Feb 03","228.54","231.30","235.07","220.26","2.27B","-0.38%"
"Jan 03","229.42","243.80","252.35","227.26","2.78B","-4.22%"
"Dec 02","239.52","265.58","276.57","237.15","2.67B","-7.30%"
"Nov 02","258.38","262.50","269.92","250.84","2.83B","1.40%"
"Oct 02","254.82","246.31","276.97","227.38","3.52B","6.33%"
"Sep 02","239.66","272.13","286.05","242.02","2.28B","-9.63%"
"Aug 02","265.19","265.12","284.66","240.55","2.78B","2.15%"
"Jul 02","259.61","301.25","304.02","231.81","3.07B","-11.17%"
"Jun 02","292.26","316.71","321.26","290.75","2.30B","-5.68%"
